과목 제28(당)기 제27(전)기
유동자산 125,571,170,550  103,673,590,736
당좌자산 85,805,744,926     81,827,793,613
1.현금및 현금성자산(주6) 21,702,131,898  32,263,357,515
2.단기금융상품 31,944,024,491  19,198,552,736
3.단기매매증권(주2,4) 8,222,928,064   12,026,245,141
4.매출채권(주6,10,16) 17,779,728,242   14,893,029,540
대손충당금(주2) (87,164,052) (77,903,068)
5.단기대여금(주10) 170,479,879    178,587,879
6.미수금  3,640,832,789    2,295,607,081
7.미수수익 55,754,094   647,933,220
8.선급금 2,574,283  5,849,227
9.선급비용 341,998,428  396,534,342
10.선급법인세  2,032,456,810    -
